name,Predicted value,Difference from optimal G
Hf-Tc,-3.4901760552852146,3.5713760552852145
Ta-Tc,-3.0278464556186195,3.1090464556186195
W-Tc,-2.012614862335289,2.093814862335289
Re-Tc,-1.1529480504762368,1.2341480504762368
Os-Tc,-0.6712794275806411,0.752479427580641
Ir-Tc,-0.6600478333161035,0.7412478333161034
Pt-Tc,-0.6223570458954286,0.7035570458954286
Au-Tc,-0.6427431678563347,0.7239431678563346
Ru-Ru,0.051310886972616876,0.02988911302738312
Rh-Ru,0.15951027315920152,0.07831027315920153
Pd-Ru,0.04401976536838603,0.03718023463161396
Ag-Ru,-0.3036975378544826,0.3848975378544826
Cd-Ru,-0.7507427406966821,0.8319427406966822
Hf-Ru,-3.19599077258324,3.27719077258324
Ta-Ru,-2.6178651155206962,2.699065115520696
W-Ru,-1.3883977851481255,1.4695977851481254
Re-Ru,-0.8929826909762447,0.9741826909762448
Os-Ru,-0.030638836188607188,0.11183883618860718
Ir-Ru,-0.07828754170923502,0.15948754170923501
Pt-Ru,-0.03393393844013848,0.11513393844013847
Au-Ru,0.03398941004390399,0.047210589956096005
Rh-Rh,0.31080732367747865,0.22960732367747866
Pd-Rh,0.373467318542573,0.292267318542573
Ag-Rh,0.03660285907296301,0.04459714092703698
Cd-Rh,-0.6380500700286722,0.7192500700286721
Hf-Rh,-2.7659350435145758,2.8471350435145757
Ta-Rh,-2.387387114197031,2.468587114197031
W-Rh,-1.1941335318345667,1.2753335318345667
Re-Rh,-0.7958022000963945,0.8770022000963944
Os-Rh,0.040157126673741717,0.04104287332625828
Ir-Rh,0.016755031419050992,0.064444968580949
Pt-Rh,0.33523162768234194,0.25403162768234194
Au-Rh,0.43761795052092656,0.35641795052092656
Pd-Pd,0.6002529977131252,0.5190529977131253
Ag-Pd,0.3499253930972448,0.2687253930972448
Cd-Pd,-0.6684427834957087,0.7496427834957087
Hf-Pd,-2.4646791657794678,2.5458791657794677
Ta-Pd,-2.221173693337903,2.302373693337903
W-Pd,-1.328497114856838,1.409697114856838
Re-Pd,-1.110050318282021,1.1912503182820209
Os-Pd,-0.33898012026574764,0.42018012026574764
Ir-Pd,-0.10553464360940312,0.18673464360940312
Pt-Pd,0.6138056433885721,0.5326056433885722
Au-Pd,0.9549146313142736,0.8737146313142736
Ag-Ag,0.14637486585972193,0.06517486585972193
Cd-Ag,-0.9918010362785167,1.0730010362785167
Hf-Ag,-2.6618029233456495,2.7430029233456494
Ta-Ag,-2.0964739924505906,2.1776739924505906
W-Ag,-1.463238634864129,1.544438634864129
Re-Ag,-1.3920754588957447,1.4732754588957446
Os-Ag,-0.754510253127198,0.835710253127198
Ir-Ag,-0.4566439133305521,0.5378439133305521
Pt-Ag,0.5385894051717008,0.45738940517170085
Au-Ag,0.5520979730628941,0.4708979730628941
Cd-Cd,-0.8657507410576213,0.9469507410576212
Hf-Cd,-1.6385158257685575,1.7197158257685574
Ta-Cd,-1.620086582650309,1.701286582650309
W-Cd,-1.5392497123076867,1.6204497123076866
Re-Cd,-1.4046929709954563,1.4858929709954563
Os-Cd,-0.9577558144738051,1.0389558144738051
Ir-Cd,-0.7825435943377725,0.8637435943377725
Pt-Cd,-0.6207435826622464,0.7019435826622464
Au-Cd,-0.4545432657907773,0.5357432657907772
Hf-Hf,-4.210367975661334,4.291567975661334
Ta-Hf,-4.54886646787962,4.63006646787962
W-Hf,-4.136620302995897,4.2178203029958965
Re-Hf,-3.3604267936725085,3.4416267936725085
Os-Hf,-2.885240097125161,2.9664400971251608
Ir-Hf,-2.42341599397539,2.50461599397539
Pt-Hf,-2.161627369076872,2.242827369076872
Au-Hf,-1.9815240832403758,2.0627240832403757
Ta-Ta,-4.1319350763782765,4.2131350763782764
W-Ta,-3.609017665916353,3.690217665916353
Re-Ta,-2.957828061014793,3.039028061014793
Os-Ta,-2.3603713367999823,2.4415713367999823
Ir-Ta,-2.0879226158893816,2.1691226158893815
Pt-Ta,-1.8930675243553865,1.9742675243553864
Au-Ta,-1.7401119045761018,1.8213119045761017
W-W,-1.873387529108573,1.954587529108573
Re-W,-2.014160364782958,2.095360364782958
Os-W,-1.330569922499978,1.411769922499978
Ir-W,-1.2721176802889458,1.3533176802889457
Pt-W,-1.251270407156448,1.332470407156448
Au-W,-1.1781143243868177,1.2593143243868177
Re-Re,-1.2607386672198067,1.3419386672198066
Os-Re,-0.7581579254612016,0.8393579254612016
Ir-Re,-0.6433574592712722,0.7245574592712722
Pt-Re,-0.6985839879772291,0.779783987977229
Au-Re,-0.7067145867361616,0.7879145867361617
Os-Os,-0.027643357148509295,0.10884335714850929
Ir-Os,0.001923986402106559,0.07927601359789344
Pt-Os,-0.018416239663181955,0.09961623966318195
Au-Os,0.06633934820022058,0.014860651799779412
Ir-Ir,-0.06357075066217033,0.14477075066217032
Pt-Ir,0.20756462149406008,0.12636462149406008
Au-Ir,0.3471916967999842,0.2659916967999842
Pt-Pt,0.6551664815389584,0.5739664815389585
Au-Pt,0.9404307068362894,0.8592307068362894
Au-Au,0.688407494361958,0.6072074943619581
